,raiden,holochain-rust,LightTable,logger,reicast-emulator,axios,Android-ObservableScrollView,Luban,symphony,nodejs.org,datadog-agent,Calligraphy,MaterialViewPager,jquery,AndroidSlidingUpPanel,iotivity
vlayout,0.63944979,0.210350742,0.231952597,0.514807613,0.687979973,0.676995873,0.518675841,0.305739903,0.656154766,0.659009553,0.273303927,0.655816328,0.543024464,0.688588954,0.543663682,0.188945383
vue,0.519870437,0.470150545,0.337249013,0.287131791,0.49004768,0.295223187,0.48198396,0.417708628,0.512136402,0.286767673,0.417336746,0.465906975,0.306284065,0.282494391,0.43699813,0.282494391
wagtail,0.499307887,0.45394649,0.394471157,0.43346231,0.513931967,0.374146826,0.336247659,0.459139552,0.556901853,0.555540367,0.47274021,0.501491171,0.34935857,0.523305824,0.44820386,0.473424207
website,0.540766107,0.251815174,0.293173676,0.256550521,0.537041032,0.527042605,0.515281442,0.42814763,0.51414504,0.262556366,0.430845985,0.539806793,0.551046899,0.264785788,0.547770502,0.547416757
websocketd,0.511904762,0.409929078,0.548252746,0.388182832,0.503224964,0.488071349,0.497650794,0.502643635,0.346543779,0.399444444,0.49091209,0.360542679,0.436267541,0.512333333,0.645333333,0.521439079
weka-3.8,0.548917654,0.331734068,0.343165982,0.376910087,0.549722085,0.531744066,0.430606672,0.474369334,0.570015949,0.59675289,0.511649785,0.573105253,0.472252374,0.519555556,0.502397718,0.496542582
yebash,0.497735704,0.418086861,0.418086861,0.472426471,0.507712418,0.418086861,0.500726857,0.481961894,0.556150419,0.418086861,0.418086861,0.521892968,0.328528249,0.529411765,0.57918552,0.418086861
zipkin,0.508579703,0.531271599,0.403675792,0.467126769,0.502887895,0.393640058,0.519874807,0.531916568,0.460014088,0.47192806,0.454056003,0.563153031,0.54408748,0.341257479,0.520346182,0.592968078
zsc,0.844577431,0.077147167,0.745352186,0.052339911,0.745352186,0.661370376,0.30080706,0.547607079,0.740756193,0.745352186,0.743825364,0.68295981,0.84147199,0.759765011,0.541186416,0.756314526
zulip,0.520483537,0.469132044,0.322908165,0.363159363,0.481996462,0.465745083,0.483800785,0.482200001,0.513247802,0.505375337,0.373827065,0.508061889,0.503502312,0.465759187,0.461052731,0.499919995
zxing,0.448023635,0.475923896,0.463949805,0.495456652,0.528463603,0.485027019,0.541667029,0.38108859,0.534653014,0.538542231,0.517990201,0.499245281,0.46686886,0.417008462,0.400061212,0.467725013
,0.522787684,0.403437375,0.338099233,0.432560381,0.531482378,0.463582226,0.493503587,0.469107558,0.526417823,0.47192806,0.418086861,0.539806793,0.434760493,0.464344705,0.502397718,0.47509434
